"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0029834","597","292","378","210"
"FBgn0029835","47","30","39","17"
"FBgn0029843","133","60","82","38"
"FBgn0029849","65","22","43","22"
"FBgn0003514","223","96","150","76"
"FBgn0029848","0","0","0","1"
"FBgn0040069","0","0","0","0"
"FBgn0052751","0","0","0","0"
"FBgn0052750","3","1","2","0"
"FBgn0026060","9","2","4","2"
"FBgn0029840","446","219","319","115"
"FBgn0029839","95","34","62","26"
"FBgn0029838","19","10","25","7"
"FBgn0029837","63","26","35","16"
"FBgn0003302","25","10","21","6"
"FBgn0029003","59","46","46","17"
"FBgn0027546","41","12","28","11"
"FBgn0005390","13","2","5","0"
"FBgn0029851","12","27","21","17"
"FBgn0015818","34","13","16","13"
"FBgn0029853","22","11","19","3"
"FBgn0028982","519","218","328","135"
"FBgn0029857","35","17","23","7"
"FBgn0029858","12","8","17","4"
"FBgn0029861","79","35","51","23"
"FBgn0029863","49","13","35","7"
"FBgn0029864","442","310","254","160"
"FBgn0029866","116","45","67","16"
"FBgn0029867","105","38","54","18"
"FBgn0052748","0","0","0","0"
"FBgn0029873","52","21","19","8"
"FBgn0014031","313","130","250","123"
"FBgn0000524","50","37","31","16"
"FBgn0014026","3281","1103","2404","786"
"FBgn0029874","24","17","23","11"
"FBgn0003139","66","40","49","23"
"FBgn0003655","1","1","1","0"
"FBgn0016974","5","0","0","1"
"FBgn0029868","238","91","131","44"
"FBgn0043796","61","28","52","18"
"FBgn0028685","152","59","122","57"
"FBgn0026015","155","63","93","49"
"FBgn0029856","5","3","2","2"
"FBgn0052745","2","5","1","1"
"FBgn0000442","1","1","1","1"
"FBgn0026438","1583","541","1018","372"
"FBgn0040106","0","0","0","0"
"FBgn0004611","1125","451","658","240"
"FBgn0053127","13","8","16","4"
"FBgn0000061","0","1","2","1"
"FBgn0003278","23","6","12","8"
"FBgn0002593","2513","811","1894","480"
"FBgn0031254","3","1","2","0"
"FBgn0031255","6","1","8","1"
"FBgn0004583","195","87","100","45"
"FBgn0031256","27","11","25","11"
"FBgn0031257","114","47","77","17"
"FBgn0027592","80","33","56","12"
"FBgn0003963","97","43","36","23"
"FBgn0031263","8","1","2","2"
"FBgn0031265","30","18","14","9"
"FBgn0031266","161","71","90","55"
"FBgn0031268","40","10","21","8"
"FBgn0023489","105","47","71","22"
"FBgn0010323","5","2","3","1"
"FBgn0013323","3","2","4","0"
"FBgn0031267","23","4","19","12"
"FBgn0021874","48","9","20","3"
"FBgn0031264","23","27","17","19"
"FBgn0005660","129","36","72","26"
"FBgn0031260","109","85","95","46"
"FBgn0010602","103","55","85","28"
"FBgn0043364","502","217","204","122"
"FBgn0031258","405","181","247","97"
"FBgn0015924","259","106","177","84"
"FBgn0031253","11","1","7","1"
"FBgn0031252","2","0","0","0"
"FBgn0031251","42","7","22","5"
"FBgn0031250","9","4","9","4"
"FBgn0051921","18","7","5","6"
"FBgn0031249","13","2","12","1"
"FBgn0031248","18","7","8","3"
"FBgn0067779","152","68","108","41"
