Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0029729,0,0,0,0,0,0,1,0
FBgn0029730,29,14,24,0,21,5,16,2
FBgn0029733,2,0,1,0,0,1,1,0
FBgn0052772,285,147,206,27,158,62,95,35
FBgn0029737,222,128,181,25,137,42,93,28
FBgn0004368,833,404,562,96,395,201,249,106
FBgn0029740,0,0,2,0,0,1,0,1
FBgn0061196,0,0,0,0,0,0,0,0
FBgn0029728,5,6,9,1,7,1,2,0
FBgn0029726,0,1,0,1,1,1,0,0
FBgn0029725,1,1,0,0,2,0,1,1
FBgn0025679,2,1,0,0,2,0,5,1
FBgn0029724,1,3,3,0,1,1,4,1
FBgn0029745,11,14,14,5,3,7,6,2
FBgn0029746,0,0,0,0,0,0,0,0
FBgn0003449,65,24,39,9,40,13,35,9
FBgn0011761,0,1,0,0,0,0,0,0
FBgn0029753,1,0,0,0,1,0,0,0
FBgn0029755,38,23,28,7,30,9,19,4
FBgn0014024,192,125,163,32,145,65,91,41
FBgn0029754,0,0,0,0,0,0,0,1
FBgn0029752,1,1,2,0,0,1,0,0
FBgn0029751,5,2,5,0,7,0,0,0
FBgn0029750,3,2,0,0,9,1,6,0
FBgn0029747,95,47,84,7,76,28,45,19
FBgn0052767,1583,894,1254,180,989,474,660,207
FBgn0026751,83,27,55,3,33,12,15,10
FBgn0010014,172,89,178,24,112,35,70,34
FBgn0029761,1949,1023,1696,209,1374,491,821,253
FBgn0029763,307,181,221,31,171,81,132,53
FBgn0029765,14,28,33,6,40,21,23,15
FBgn0029766,219,328,149,103,247,392,109,360
FBgn0029768,200,85,140,20,76,22,42,16
FBgn0029770,0,0,2,0,1,0,1,0
FBgn0029771,76,48,60,7,37,17,16,15
FBgn0026702,22,7,23,1,16,7,7,4
FBgn0004687,293,175,248,36,238,90,171,52
FBgn0029778,68,47,51,11,35,29,29,19
FBgn0052762,2,2,1,0,2,1,0,0
FBgn0029769,119,70,101,13,171,48,90,60
FBgn0029762,329,142,270,29,212,87,124,47
FBgn0029756,88,44,65,8,37,24,24,12
FBgn0028474,230,108,197,25,120,59,67,28
FBgn0029785,833,332,724,79,929,302,583,126
FBgn0003747,3,2,2,0,4,0,2,0
FBgn0000394,56,28,51,8,32,14,22,12
FBgn0029791,233,132,160,46,137,91,89,47
FBgn0029795,56,20,48,3,26,6,21,2
