"","log2FoldChange","padj"
"FBgn0026315",-0.902572285228404,8.38675242691423e-10
"FBgn0040251",-1.40752345627099,6.88027650413807e-05
"FBgn0040256",-1.5302160760777,1.43871750656202e-27
"FBgn0037906",-0.78799260336192,0.00428728444080004
"FBgn0037939",-1.41761145287133,0.0024886284028809
"FBgn0042110",-1.78187147281529,3.30314201411887e-42
"FBgn0037936",-0.981737036184217,4.43124894867064e-08
"FBgn0037921",-0.759098851823343,5.95739871849714e-06
"FBgn0013276",-0.614650011526683,3.30427094729058e-06
"FBgn0037975",-0.971980000120575,2.71921783268229e-09
"FBgn0037973",-0.792798576280547,2.81693510000973e-06
"FBgn0037972",-1.01187050514654,0.00869864548352442
"FBgn0037960",-0.70649644797487,3.09744097507309e-12
"FBgn0037989",-1.38307571487522,0.000123953330374648
"FBgn0051356",-0.758151146390327,0.0065164336493452
"FBgn0010039",-0.594399955340104,1.4740671583835e-09
"FBgn0010041",-0.701697706786749,0.00656179154784222
"FBgn0038037",-0.937869403326371,5.54579876409602e-09
"FBgn0038034",-0.700033027403646,4.71688611900643e-15
"FBgn0038053",-0.649346850672062,6.37206307126114e-09
"FBgn0038054",-1.16977310691051,0.000296851647441733
"FBgn0001296",-0.941285423522834,5.3985494853843e-05
"FBgn0038108",-0.64011789466859,1.21671623110516e-12
"FBgn0038113",-0.754430099194727,2.89739733433705e-07
"FBgn0038114",-0.765445979575087,0.00123150013386496
"FBgn0004666",-2.08520619812147,6.2921938502563e-10
"FBgn0038115",-1.0638855029289,7.78714687098392e-19
"FBgn0038105",-0.982521576120948,5.86736167193494e-18
"FBgn0038098",-0.858619754288696,3.82616813624868e-06
"FBgn0038148",-2.56354124727905,3.53004353139722e-14
"FBgn0038149",-1.64384994850088,3.61746730179045e-48
"FBgn0038143",-1.25970587893678,2.96019824686837e-13
"FBgn0000024",-0.870791888860644,2.09797828102262e-08
"FBgn0051337",-1.55429816134864,0.00606492143548005
"FBgn0011971",-0.711310635696565,0.00792311919559526
"FBgn0038243",-1.23373318694645,0.00213363195150157
"FBgn0038237",-0.838528531988719,3.45736120040745e-14
"FBgn0038260",-0.68372423113004,1.37736955667406e-07
"FBgn0038261",-1.96670419436027,2.9776055812085e-05
"FBgn0038262",-2.11216763967833,1.0817453655226e-23
"FBgn0038337",-0.913393134247836,0.000153329889661537
"FBgn0038330",1.43062720162377,0.000266348093945224
"FBgn0038299",1.06503033571514,1.09985784699313e-07
"FBgn0038349",-1.05262445193243,1.12723207503547e-13
"FBgn0012011",-0.800036572905939,0.00770069110366423
"FBgn0038414",-1.4473904211274,3.95966813062923e-07
"FBgn0038415",-1.57160844664439,1.28970963324451e-06
"FBgn0038416",-1.11141124396218,4.48160656771022e-05
"FBgn0040271",-0.65771803898319,4.11293153872598e-08
"FBgn0051279",-0.727079399001707,0.00152766795029783
"FBgn0051282",-0.818115365162565,7.59663994121061e-07
"FBgn0011945",-1.05213082325404,1.35864205055224e-06
"FBgn0051579",-0.633703423330523,0.00257300391214865
"FBgn0051577",-0.64433622325108,0.00902020238867342
"FBgn0011944",-0.651332279955449,0.000637154699607624
"FBgn0038626",-1.65862108000604,0.0020453863225798
"FBgn0038679",0.599784368383907,0.00278578238810728
"FBgn0010768",-0.646461491194708,4.71377332022358e-10
"FBgn0013995",-1.98551865436101,3.12034397158259e-37
"FBgn0038846",-2.43797111359764,8.29798370279785e-73
"FBgn0038975",1.94887396264851,5.39672791502003e-36
"FBgn0053107",0.617183659370322,0.00315923658124072
"FBgn0039098",-0.639654896177927,0.00824125759340879
"FBgn0039106",1.6254650464942,0.000248475614432865
