,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0023172,1457.39537767997,1391.15767883623,1352.16878376982,1364.38345609457
FBgn0034182,184.058057299317,243.181844778874,177.105256446673,200.147159881642
FBgn0034183,77.4981293891863,101.407813814672,91.5375482758083,104.302041065081
FBgn0034184,1114.03560996955,1458.10652679155,1182.02834077892,1446.13370449693
FBgn0026721,1848.11511335046,1927.73300436047,2108.34853039606,2392.36933830357
FBgn0034187,113.01810535923,218.568297736478,133.326429010416,168.198786942788
FBgn0034191,118.399919900146,134.882237792331,115.416908695584,144.707336252455
FBgn0034194,2232.37667157184,2296.93620999641,2453.60428313199,2401.7659185797
FBgn0000078,11.8399919900146,4.92270940847923,12.934653560712,7.51726422090674
FBgn0034197,12.9163548981977,14.7681282254377,7.95978680659202,9.39658027613342
FBgn0034198,643.665019093519,418.430299720735,592.009143740282,412.509874122257
FBgn0034199,1079.59199690769,759.081790787497,1066.61143208333,909.588970729715
FBgn0034200,309.992517556745,219.552839618174,350.230619490049,233.974848875722
FBgn0050235,96.8726617364828,103.376897578064,120.391775449704,87.3881965680408
FBgn0034201,13.9927178063809,2.95362564508754,12.934653560712,5.63794816568005
FBgn0034205,12.9163548981977,10.8299606986543,15.919573613184,6.57760619329339
FBgn0046294,1.07636290818314,13.7835863437418,0.994973350824003,2.81897408284003
FBgn0034206,1.07636290818314,0.984541881695846,3.97989340329601,3.75863211045337
FBgn0034204,2.15272581636629,6.89179317187092,1.98994670164801,8.45692224852008
FBgn0050457,4.30545163273257,2.95362564508754,5.96984010494402,3.75863211045337
FBgn0050458,7.534540357282,2.95362564508754,1.98994670164801,1.87931605522668
FBgn0040918,825.57035057647,796.494382291939,808.913334219914,796.830007416114
FBgn0023458,1134.48650522503,1003.24817744807,1130.28972653607,1118.19305285988
FBgn0029877,46.2836050518751,63.99522231023,36.8140139804881,72.3536681262273
FBgn0029878,841.715794199217,898.886737988307,779.064133695194,831.597354437808
FBgn0029879,392.872461486847,558.235246921545,408.934047188665,672.795147771153
FBgn0029881,2859.89624704261,2968.39377331298,2829.70420974346,2716.55135783017
FBgn0029880,246.48710597394,290.439855100275,166.160549587609,235.854164930949
